[2024-04-23 08:12:35,955: INFO: main: welcome to our custom log]
[2024-04-23 19:32:41,435: INFO: utils: NumExpr defaulting to 4 threads.]
[2024-04-23 19:34:24,743: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-04-23 19:34:24,747: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-23 19:34:24,750: INFO: common: created directory at: artifacts]
[2024-04-23 19:34:24,753: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-23 19:40:18,879: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-04-23 19:40:18,884: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-23 19:40:18,886: INFO: common: created directory at: artifacts]
[2024-04-23 19:40:18,888: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-04-23 19:40:37,552: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-28 11:53:49,626: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-28 11:53:49,629: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-28 11:53:49,630: INFO: common: created directory at: artifacts]
[2024-05-28 11:53:49,631: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-28 11:53:49,631: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 11:57:09,335: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 12:00:26,855: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-28 12:00:26,856: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-28 12:00:26,858: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-28 12:00:26,858: INFO: common: created directory at: artifacts]
[2024-05-28 12:00:26,859: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-28 12:00:26,859: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 12:03:22,091: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 12:03:34,962: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-05-28 12:09:04,144: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-28 12:09:04,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-28 12:09:04,149: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-28 12:09:04,149: INFO: common: created directory at: artifacts]
[2024-05-28 12:09:04,150: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-28 12:09:04,150: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 12:11:38,389: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharinghttps://drive.google.com/file/d/19fZGJc-9Fmsz_R5TjOQnnqtDZ028dwB9/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-28 12:11:51,294: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
